Ia,Ib,VDC,IDC,T1,T2,T3,VD,FDD
531,390,507,508,514,504,485,509,F0
532,392,506,501,515,487,484,508,F0
530,387,506,506,514,510,485,510,F0
531,389,506,506,514,505,485,509,F0
534,390,506,506,514,501,485,510,F0
533,389,506,506,514,504,485,509,F0
531,388,508,508,514,504,484,499,F0
532,387,505,512,514,504,498,509,F0
533,388,507,508,513,504,485,509,F0
530,386,505,506,515,505,485,508,F0
532,385,507,506,520,504,488,509,F0
531,387,509,507,515,504,485,508,F0
532,385,506,507,515,504,485,509,F0
529,386,508,505,507,504,484,509,F0
529,386,507,506,515,504,485,509,F0
533,388,506,507,515,504,474,509,F0
531,388,508,506,514,504,484,509,F0
533,390,508,509,514,504,485,509,F0
529,390,507,509,514,494,485,511,F0
531,392,508,508,514,510,484,509,F0
531,389,510,508,515,505,484,509,F0
529,389,507,506,514,502,484,511,F0
531,388,508,508,514,504,485,510,F0
533,389,507,508,515,504,484,504,F0
530,386,507,507,516,504,501,510,F0
530,386,506,506,514,504,485,509,F0
533,388,508,508,517,504,491,508,F0
534,387,506,507,514,504,484,510,F0
533,385,510,508,510,504,469,510,F0
530,387,507,507,515,504,484,509,F0
532,387,507,505,511,504,483,509,F0
531,390,507,505,515,504,484,509,F0
535,388,507,507,516,514,486,509,F0
531,389,508,504,514,504,484,509,F0
531,389,507,506,514,505,484,509,F0
531,389,508,509,514,504,484,509,F0
533,387,509,507,517,504,499,510,F0
531,387,508,508,514,504,484,510,F0
533,387,506,508,517,504,485,508,F0
533,387,507,507,515,504,483,509,F0
530,388,511,506,510,504,488,509,F0
529,387,508,507,515,504,484,509,F0
530,390,509,506,514,504,483,510,F0
532,389,508,507,514,504,462,510,F0
533,386,508,507,515,509,484,510,F0
532,389,508,507,514,504,484,510,F0
532,389,507,505,514,504,484,510,F0
532,389,507,507,515,506,484,510,F0
531,389,508,506,514,504,484,511,F0
531,388,507,507,514,504,489,509,F0
533,385,509,507,508,504,484,509,F0
532,387,508,506,515,504,484,509,F0
533,389,508,506,514,504,484,509,F0
531,391,507,509,514,496,484,511,F0
508,510,506,506,514,504,483,510,F0
508,509,504,507,514,504,484,509,F0
509,508,506,507,515,504,484,509,F0
508,509,507,506,514,504,484,509,F0
508,508,508,505,514,504,484,509,F0
509,508,508,506,514,504,483,510,F0
509,508,508,509,514,504,484,509,F0
510,510,506,506,514,504,484,508,F0
508,509,507,506,514,504,483,510,F0
509,508,508,508,514,504,484,510,F0
511,509,507,508,514,504,483,509,F0
510,510,508,507,514,504,484,509,F0
510,508,506,506,514,504,483,509,F0
507,508,508,506,514,504,483,509,F0
510,510,507,505,514,504,484,510,F0
512,509,509,506,514,504,483,509,F0
510,509,508,506,514,503,483,509,F0
510,509,507,507,514,504,484,508,F0
509,509,506,507,514,504,483,509,F0
509,508,507,505,514,504,483,509,F0
508,510,507,505,515,504,483,508,F0
510,508,507,505,514,504,483,509,F0
510,510,505,507,514,504,484,510,F0
509,509,507,507,514,504,483,509,F0
509,508,507,507,514,504,484,510,F0
508,510,508,506,514,504,483,509,F0
509,510,507,507,514,504,483,511,F0
511,509,508,506,514,504,484,510,F0
509,508,508,505,514,504,483,510,F0
508,508,506,506,514,504,483,510,F0
508,509,507,505,514,504,483,509,F0
511,510,506,505,515,504,483,509,F0
507,509,507,507,514,504,483,509,F0
509,508,507,507,514,504,483,509,F0
509,509,508,507,514,504,482,509,F0
534,388,507,506,514,504,484,511,F0
534,390,507,517,514,486,483,509,F0
533,390,507,506,514,504,483,511,F0
533,388,508,508,513,504,484,509,F0
532,388,507,507,515,504,483,510,F0
532,389,507,506,503,504,479,510,F0
532,386,507,507,515,517,484,510,F0
532,391,507,506,514,504,483,509,F0
532,390,505,508,514,504,483,509,F0
531,390,508,509,515,502,482,509,F0
531,387,507,506,516,504,484,509,F0
532,387,508,507,515,504,483,509,F0
532,388,507,507,516,504,472,509,F0
532,390,506,508,514,506,483,510,F0
531,392,507,507,514,509,483,509,F0
533,387,507,507,514,504,484,510,F0
532,387,507,507,514,504,488,509,F0
535,386,507,505,507,504,481,509,F0
531,388,506,506,514,504,483,510,F0
535,391,507,508,514,504,483,510,F0
532,389,508,504,514,496,483,509,F0
532,389,506,507,515,504,483,509,F0
530,388,508,506,513,504,483,508,F0
532,385,506,508,514,504,483,509,F0
532,389,506,507,514,506,484,510,F0
532,389,508,508,514,509,482,509,F0
532,387,508,505,514,504,483,509,F0
532,387,507,506,514,504,483,509,F0
532,386,510,508,510,504,470,508,F0
531,388,508,507,514,504,482,509,F0
532,392,508,505,514,504,483,509,F0
531,389,508,507,514,491,483,510,F0
531,390,508,506,514,504,483,509,F0
533,386,508,507,513,504,483,509,F0
530,386,508,505,514,503,483,510,F0
532,388,508,506,502,504,478,509,F0
532,388,507,508,515,514,483,509,F0
530,388,505,507,514,504,483,510,F0
530,387,508,507,514,504,482,509,F0
538,386,504,505,511,504,471,509,F0
531,385,509,507,514,504,482,509,F0
532,390,506,506,514,504,482,510,F0
531,389,508,509,514,491,483,509,F0
531,387,507,509,514,503,482,510,F0
531,387,509,506,513,504,483,510,F0
531,388,508,507,515,504,482,509,F0
534,387,507,507,504,504,479,509,F0
532,390,507,505,515,514,482,510,F0
530,391,508,506,514,504,483,509,F0
531,388,507,507,514,505,483,509,F0
532,385,510,505,510,504,470,509,F0
533,389,507,506,514,504,482,509,F0
533,389,505,507,515,504,482,509,F0
532,390,508,506,514,500,482,511,F0
531,392,509,506,514,503,482,509,F0
530,386,508,507,513,504,483,509,F0
532,387,509,507,515,504,482,510,F0
529,388,507,506,508,504,476,509,F0
532,389,507,507,515,516,483,509,F0
530,390,507,506,514,504,482,509,F0
532,391,508,506,514,504,482,508,F0
530,392,508,507,515,504,497,510,F0
532,386,506,505,515,504,483,508,F0
532,385,507,506,515,504,483,508,F0
531,387,507,506,513,504,483,508,F0
533,389,508,505,515,504,483,509,F0
531,389,507,507,514,504,482,509,F0
532,387,509,507,515,488,482,512,F0
531,386,506,505,520,504,487,508,F0
531,386,508,506,517,504,485,510,F0
530,388,508,508,514,504,482,510,F0
532,390,508,507,514,505,482,509,F0
530,391,507,507,514,508,482,510,F0
531,387,505,506,514,504,483,509,F0
532,385,507,507,514,504,483,509,F0
537,386,507,507,511,504,470,509,F0
532,388,507,508,514,504,482,509,F0
532,389,508,507,514,504,482,509,F0
529,390,508,508,514,494,482,511,F0
531,389,507,508,515,504,482,510,F0
531,386,507,506,514,504,482,509,F0
532,385,509,504,535,504,469,510,F0
530,387,507,506,514,504,481,510,F0
531,389,508,507,514,504,482,510,F0
531,391,507,507,514,504,482,511,F0
532,389,507,508,514,502,482,510,F0
531,387,509,507,514,504,483,509,F0
532,386,507,507,515,504,482,509,F0
530,388,508,506,515,504,473,509,F0
533,389,508,507,515,518,482,509,F0
532,390,507,504,514,504,482,510,F0
531,389,507,507,514,504,482,509,F0
531,388,509,509,514,504,498,509,F0
532,388,506,506,515,504,482,509,F0
532,388,508,506,515,504,481,509,F0
530,389,508,507,514,503,483,509,F0
533,389,507,507,515,505,482,509,F0
531,389,509,507,515,505,482,509,F0
